Date : 2025-04-04 21:08:41
Directory : e:\UnityLiabrary\Brother Plant\Assets\Scripts
Total : 89 files,  3213 codes, 83 comments, 596 blanks, all 3892 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         38 |      2,691 |         83 |        545 |      3,319 |
| YAML     |         51 |        522 |          0 |         51 |        573 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |         89 |      3,213 |         83 |        596 |      3,892 |
| . (Files)                                                                                              |          7 |         56 |          0 |          7 |         63 |
| Camera                                                                                                 |          2 |        119 |          4 |         20 |        143 |
| Common                                                                                                 |          4 |        164 |         16 |         39 |        219 |
| Enemy                                                                                                  |         13 |        656 |         10 |        106 |        772 |
| Enemy (Files)                                                                                          |          9 |        448 |          9 |         78 |        535 |
| Enemy\Ordinary zombie                                                                                  |          4 |        208 |          1 |         28 |        237 |
| GameManager                                                                                            |         10 |        610 |         11 |        104 |        725 |
| Player                                                                                                 |          8 |        278 |          9 |         60 |        347 |
| UI                                                                                                     |          6 |        189 |          2 |         38 |        229 |
| Weapon                                                                                                 |         39 |      1,141 |         31 |        222 |      1,394 |
| Weapon (Files)                                                                                         |         11 |        313 |          3 |         60 |        376 |
| Weapon\DoublePeaShooter                                                                                |          6 |        169 |          6 |         33 |        208 |
| Weapon\GatlingPeaShooter                                                                               |          6 |        169 |          6 |         34 |        209 |
| Weapon\IceShooter                                                                                      |          6 |        176 |          6 |         35 |        217 |
| Weapon\Jalapeno                                                                                        |          4 |        149 |          4 |         29 |        182 |
| Weapon\PeaShooter                                                                                      |          6 |        165 |          6 |         31 |        202 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                               | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| e:\UnityLiabrary\Brother Plant\Assets\Scripts\Camera.meta                                              | YAML     |          8 |          0 |          1 |          9 |
| e:\UnityLiabrary\Brother Plant\Assets\Scripts\Camera\CameraFollow.cs                                   | C#       |        108 |          4 |         19 |        131 |
| e:\UnityLiabrary\Brother Plant\Assets\Scripts\Camera\CameraFollow.cs.meta                              | YAML     |         11 |          0 |          1 |         12 |
| e:\UnityLiabrary\Brother Plant\Assets\Scripts\Common.meta                                              | YAML     |          8 |          0 |          1 |          9 |
| e:\UnityLiabrary\Brother Plant\Assets\Scripts\Common\CharacterStats.cs                                 | C#       |         78 |         11 |         19 |        108 |
| e:\UnityLiabrary\Brother Plant\Assets\Scripts\Common\CharacterStats.cs.meta                            | YAML     |         11 |          0 |          1 |         12 |
| e:\UnityLiabrary\Brother Plant\Assets\Scripts\Common\SunCollectible.cs                                 | C#       |         64 |          5 |         18 |         87 |
| e:\UnityLiabrary\Brother Plant\Assets\Scripts\Common\SunCollectible.cs.meta                            | YAML     |         11 |          0 |          1 |         12 |
